Iteration	Posterior	Likelihood	Prior	root_time	turnover	birth_rate	death_rate	diversification	branch_rates
0	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
100	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
200	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
300	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
400	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
500	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
600	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
700	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
800	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
900	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
1000	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
1100	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
1200	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
1300	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
1400	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
1500	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
1600	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
1700	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
1800	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
1900	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
2000	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
2100	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
2200	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
2300	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
2400	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
2500	-22856.7	-22446.5	-410.218	49.6538	0.319674	0.0898791	0.028732	0.0611471	0.00673044
